"establecimiento_id","establecimiento_nombre","localidad_id","localidad_nombre","provincia_id","provincia_nombre","departamento_id","departamento_nombre","cod_loc","cod_ent ","origen_financiamiento","tipologia_id","tipologia_nombre","tipologia","cp","domicilio","sitio_web"
70064272309908,"CARDENAS TUTAYA JULIA ROSARIO",6427010014,"VILLA LUZURIAGA",6,"BUENOS AIRES",427,"LA MATANZA",10,14,"Privado",70,"FARMACIA","Farmacia ambulatoria comercial",1754,"TRIUNVIRATO  1990",
70220632326900,"ZUKIEWICZ",22063060000,"JUAN JOSE CASTELLI",22,"CHACO",63,"GENERAL GÜEMES",60,0,"Privado",70,"FARMACIA","Farmacia ambulatoria comercial",3705,"AVENIDA SAN MARTIN 825",
70220632826902,"AMMACH FARMACIA SOCIAL",22063060000,"JUAN JOSE CASTELLI",22,"CHACO",63,"GENERAL GÜEMES",60,0,"Mutual",70,"FARMACIA","Farmacia de mutual, cooperativa, obra social (para afiliados solamente)",3705,"AVENIDA SAN MARTIN 436 LOCALES 9 Y 10 LA GALERIA",
70220632326903,"GUEMES",22063060000,"JUAN JOSE CASTELLI",22,"CHACO",63,"GENERAL GÜEMES",60,0,"Privado",70,"FARMACIA","Farmacia ambulatoria comercial",3705,"AVENIDA GUEMES Y DR. FAVALORO",
70221262326904,"SAN RAMON",22126020000,"COLONIA BENITEZ",22,"CHACO",126,"1º DE MAYO",20,0,"Privado",70,"FARMACIA","Farmacia ambulatoria comercial",3505,"FELIX BENITEZ 365",
70221262326905,"DEL PUEBLO",22126020000,"COLONIA BENITEZ",22,"CHACO",126,"1º DE MAYO",20,0,"Privado",70,"FARMACIA","Farmacia ambulatoria comercial",3505,"FELIX BENITEZ SIN NUMERO",
70620072370612,"SINDICAL AEC",62007090000,"VIEDMA",62,"RÍO NEGRO",7,"ADOLFO ALSINA",90,0,"Privado",70,"FARMACIA","Farmacia ambulatoria comercial",8500,"Alberdi 629",
70620072370613,"VINCI",62007090000,"VIEDMA",62,"RÍO NEGRO",7,"ADOLFO ALSINA",90,0,"Privado",70,"FARMACIA","Farmacia ambulatoria comercial",8500,"Alvaro Barros 1399",
70620072370614,"CENTRAL S.C.S.",62007090000,"VIEDMA",62,"RÍO NEGRO",7,"ADOLFO ALSINA",90,0,"Privado",70,"FARMACIA","Farmacia ambulatoria comercial",8500,"Belgrano 265",
70220702326906,"ITATI",22070020000,"CAMPO LARGO",22,"CHACO",70,"INDEPENDENCIA",20,0,"Privado",70,"FARMACIA","Farmacia ambulatoria comercial",3716,"SAN MARTIN 823",
